Brasserie,Commune,Province,Principales bières,coordinates
Brasserie Liefmans (fait partie de Duvel Moortgat),Audenarde,Flandre-Orientale,Liefmans,"(50.8433705, 3.6041443)"
Brasserie de la Lienne,Lierneux,Liège,"Lienne, Grandgousier, 3Pontoise","(50.3405315, 5.821611350498288)"
Brasserie Lindemans,Leeuw-Saint-Pierre,Brabant flamand,"Lindemans, Foudroyante","(50.7800261, 4.2443604)"
Brasserie de Lonsees,Gembloux,Namur,"Bonne Bwère, Tripante, Tr(h)op is te veel","(50.5597273, 4.6943126)"
Brasserie Loterbol,Diest,Brabant flamand,Loterbol,"(50.9963227, 5.054355986103152)"
Brasserie Lupulus (ex Brasserie Les Trois Fourquets),Gouvy,Luxembourg,Lupulus,"(50.2144933, 5.9136085)"
Microbrasserie de la Madelonne,Gouvy,Luxembourg,La Madelonne,"(50.1857409, 5.9428)"
Brasserie Maenhout,Meulebeke,Flandre-Occidentale,Kroffel,"(50.9498382, 3.2888527)"
Brasserie Malheur (voir Brasserie De Landtsheer),Buggenhout,Flandre-Orientale,"Malheur, Novice","(51.0152271, 4.2022689)"
Brasserie de Marsinne,Héron,Liège,Léopold 7,"(50.52979595, 5.119391785157743)"
Brasserie Martens,Bocholt,Limbourg,"Martens Pils, Sezoens, Kristoffel","(51.0140082, 3.6491165)"
Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus","(49.6952272, 5.4924175)"
Brasserie Minne,Somme-Leuze,Namur,"Trouffette, Bastogne Pale Ale","(50.313722850000005, 5.3212256980329204)"
Brasserie des Monts,Ellezelles,Hainaut,Blanc Mongnîs,"(45.8142586, 4.8184525)"
Brasserie Mort Subite (fait partie d'Alken-Maes<Heineken),Asse,Brabant flamand,Mort Subite,"(50.9094333, 4.2015646)"
Brasserie Mochenaire,Andenne (Belgique),Namur,"Mochenaire Home'S Black, Blonde, Little One.","(50.4893981, 5.0965468)"
Brasserie de la Mule,Schaerbeek,Bruxelles,Hefe Weisse,"(50.865878, 4.3730863)"
Brasserie artisanale de Namur,Namur,Namur,"Houppe, Jambes en l'air","(50.4665284, 4.8661892)"
Brasserie La Natoise,Hamois,Namur,Natoise,"(50.3408694, 5.1594475)"
Brasserie Nieuwhuys,Hoegaarden,Brabant flamand,Nieuwhuys Huardis,"(50.7741896, 4.8870343)"
Brasserie No Science,Bruxelles (Laeken),Bruxelles,Noisy,"(50.883392, 4.3487134)"
Brasserie Omer Vander Ghinste (ex Bockor),Courtrai,Flandre-Occidentale,"Jacobins, Max, Bockor","(50.8276429, 3.2659884)"
Brasserie d'Oster,Manhay,Luxembourg,Oster,"(50.2749541, 5.659066921151846)"
Brasserie Oud Beersel,Beersel,Brabant flamand,Oud Beersel,"(50.747841199999996, 4.30652710740871)"
Brasserie d'Oude Caert,Brasschaat,Anvers,d'Oude Caert,"(51.2900693, 4.4917295)"
Brasserie Oxymore,Gouvy,Luxembourg,Oxymore,"(50.1857409, 5.9428)"
Brasserie 't Paenhuys,Saint-Nicolas,Flandre-Orientale,"Kloefkapper, Schapenkop, Zjef","(50.3022047, 2.7767966)"
Brasserie Palm (fait partie de Palm Belgian Craft Brewers),Londerzeel,Brabant flamand,"Palm, Steenbrugge","(51.5118304, -0.124251)"
Brasserie 't Pakhuis,Anvers,Anvers,Antwerps,"(51.2211097, 4.3997081)"
Brasserie Peak-Beer,Botrange Waimes,Province de Liège,,"(50.5017024, 6.0926277)"
Brasserie Pirlot,Zandhoven,Anvers,Kempisch Vuur,"(51.2147918, 4.6595103)"
Microbrasserie de la Principauté,Liège,Liège,Curtius,"(50.6450944, 5.5736112)"
Brasserie du Renard,Grez-Doiceau,Brabant wallon,"L'Adorée, La Blondasse","(50.7665208, 4.6489518)"
Brasserie Rodenbach (fait partie de Palm Belgian Craft Brewers),Roulers,Flandre-Occidentale,Rodenbach,"(50.8277653, 3.2665836)"
Brasserie de la Rogère,Thuin,Hainaut,La Saqwè,"(50.32189905, 4.296083730719883)"
Brasserie Roman,Audenarde,Flandre-Orientale,"Adriaen Brouwer, Ename, Wieze Tripel","(45.18442025, 5.774715255279428)"
Brasserie Artisanale de Rulles,Habay,Luxembourg,Rulles,"(49.718303399999996, 5.557348535033317)"
Brasserie Perron Bieren,Gellik,Limburg,"Saison, Griffier, Blond, Tripel","(50.8839456, 5.6091315)"
Brasserie Saint-Bernardus,Poperinge,Flandre-Occidentale,"Saint Bernardus, Watou Tripel","(50.8556646, 2.7264961)"
Brasserie Sortie 14,Sombreffe,Namur,"Phoenix Amère, Allumette","(50.5225432, 4.5991932)"
Brasserie Sainte-Hélène,Virton,Luxembourg,"Mistinguett, Gipsy Rose, Lily Blue","(49.5816952, 5.5701191)"
Brasserie Saint-Feuillien,Le Rœulx,Hainaut,"St Feuillien, Grisette","(50.49827785, 4.127326611228931)"
Brasserie Saint-Lazare,Mons,Hainaut,bières à façon,"(50.46893205, 3.9561753011415526)"
Brasserie Saint-Monon,Nassogne,Luxembourg,Saint-Monon,"(50.1287359, 5.3418985)"
Brasserie de la Sambre,Spy,Namur,Eldorado,"(50.4069964, 4.4585705)"
Brasserie Schockmel,Les-Bons-Villers,Hainaut,"Lithium, Lycanthr'hop, Tsar Bomba","(50.52042405, 4.463110137558774)"
Brasserie Schelde,Hoogstraten,Anvers,"Zeezuiper, Dulle Griet, Lamme Goedzak","(51.4012894, 4.7616865)"
Brasserie de la Senne,Molenbeek-Saint-Jean,Bruxelles,"Zinnebir, Taras Boulba, Stouterik","(50.867886850000005, 4.349089742262716)"
Brasserie de Silenrieux,Cerfontaine,Namur,"Joseph, Sara","(50.2231657, 4.4120879)"
Brasserie de Silly,Silly,Hainaut,"Abbaye de Forest, Double Enghien, Pink Killer, Silly Pils, Chambourlette","(50.6494429, 3.925039716650109)"
Brasserie Sint Canarus,Deinze,Flandre-Orientale,"Sint Canarus,Potteloereke","(50.9840526, 3.5274017)"
Brasserie Siphon,Damme,Flandre-Occidentale,"Blinker, Damme Nation","(51.2499641, 3.3217194554452067)"
Brasserie Slaghmuylder,Ninove,Flandre-Orientale,"Witkap Pater, Slag Lager Pils","(50.8214549, 4.0037422031066825)"
Brasserie 't Smisje (auparavant Brasserie De Regenboog),Audenarde,Flandre-Orientale,Smisje,"(50.8433705, 3.6041443)"
Brasserie Sponk,Visé,Liège,"BARK, Miss USA, BuZz, Black Sponk, Mister X, Sabaré, Dragon, Super Dragon","(50.7347797, 5.6936397)"
Brasserie de la Station,Clavier,Liège,"Rocket, Aéro, Samba, Grozny","(46.8145897, 7.1548459)"
Brasserie Stokhove,Oostkamp,Flandre-Occidentale,Waardamse,"(51.12144055, 3.2342003757779523)"
Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop","(45.799734, 11.7941917)"
Brasserie Struise,Vleteren,Flandre-Occidentale,"Pannepot, Black Albert","(50.930143, 2.7289867)"
Brasserie des Tchets,Libramont-Chevigny,Luxembourg,Chatte,"(49.9145205, 5.390194396502644)"
Gueuzerie Tilquin,Rebecq,Brabant wallon,"Oude Gueuze Tilquin à l'ancienne, Quetsche Tilquin","(50.69274725, 4.107563561761099)"
Brasserie Timmermans (fait partie de John Martin SA),Dilbeek,Brabant flamand,Timmermans,"(50.85182815, 4.239174079387096)"
Brasserie de la Touffe,Chastre,Brabant wallon,"Flupke, Saint-David","(50.6082727, 4.6385565)"
